employee_id,age,department,years_experience,annual_salary,satisfaction_score,work_mode
1265,43,Finance,13.3,63690.0,5.4,Remote
1266,59,Support,17.1,81988.71,8.1,Hybrid
1267,28,Sales,3.6,49631.83,7.5,Remote
1268,31,Sales,2.9,43193.58,8.6,Onsite
1269,39,Marketing,13.3,70244.25,7.6,Onsite
1270,29,Finance,2.5,45557.39,7.3,Onsite
1271,46,Support,11.6,71379.01,8.8,Remote
1272,31,Finance,5.8,56480.16,7.7,Onsite
1273,26,Finance,1.3,42137.37,,Remote
1274,31,Marketing,3.1,48005.5,9.2,Hybrid
1275,57,HR,25.1,108211.63,7.2,Onsite
1276,57,Sales,12.0,69662.11,6.5,Remote
1277,41,Marketing,11.1,66438.04,5.7,Remote
1278,37,Sales,7.5,55050.96,8.1,Remote
1279,53,Engineering,13.5,67950.53,8.9,Hybrid
1280,29,Support,2.9,39298.75,6.9,Onsite
1281,46,Finance,18.2,84831.94,9.0,Remote
1282,47,HR,21.8,97005.81,4.0,Remote
1283,48,Engineering,10.0,68763.25,6.9,Hybrid
1284,30,Engineering,7.0,54432.81,6.9,Remote
1285,49,Engineering,17.7,88573.91,5.9,Onsite
1286,45,Finance,15.8,83557.26,10.0,Onsite
1287,55,Sales,24.0,101274.21,6.9,Onsite
1288,28,Sales,4.3,49418.76,6.4,Onsite
1289,45,Support,18.2,84985.89,7.0,Hybrid
1290,53,Support,18.3,91528.54,,Onsite
1291,32,Finance,6.2,54903.37,5.9,Remote
1292,50,Sales,13.8,68878.06,8.5,Remote
1293,25,HR,1.1,38726.1,6.1,Hybrid
1294,49,Sales,18.9,94512.45,5.8,Remote
1295,45,Support,7.4,54995.08,9.0,Onsite
1296,29,Engineering,3.3,46030.86,,Hybrid
1297,24,Finance,0.7,39143.52,7.8,Onsite
1298,50,HR,11.6,63333.51,6.3,Hybrid
1299,31,Finance,6.1,54122.83,6.6,Hybrid
1300,40,Marketing,12.2,112189.73,5.8,Onsite
