date,sessions,bounce_rate_pct,conversion_rate_pct,primary_device
2025-04-12,1245,34.94,3.16,Desktop
2025-04-13,1307,50.15,2.98,Desktop
2025-04-14,1277,39.13,3.11,Desktop
2025-04-15,1455,47.55,3.12,Desktop
2025-04-16,1404,43.18,3.14,Desktop
2025-04-17,1223,49.01,3.05,Tablet
2025-04-18,1268,45.94,3.4,Desktop
2025-04-19,1354,20.42,3.8,Mobile
2025-04-20,1337,46.43,2.22,Desktop
2025-04-21,1289,50.14,2.36,Tablet
2025-04-22,1489,48.57,1.8,Desktop
2025-04-23,1394,44.18,3.89,Desktop
2025-04-24,1407,58.14,3.4,Mobile
2025-04-25,1341,47.49,3.6,Desktop
2025-04-26,1429,48.5,2.06,Mobile
2025-04-27,1366,53.36,4.63,Desktop
2025-04-28,1375,47.9,2.71,Mobile
2025-04-29,1432,37.82,3.33,Mobile
2025-04-30,1301,25.49,3.88,Mobile
2025-05-01,1498,41.18,2.41,Desktop
2025-05-02,1417,51.09,2.76,Desktop
2025-05-03,1486,42.18,3.34,Desktop
2025-05-04,1348,51.41,5.49,Desktop
2025-05-05,1360,46.19,3.44,Desktop
2025-05-06,1349,55.3,4.49,Tablet
2025-05-07,1437,42.64,4.16,Mobile
2025-05-08,1430,48.74,3.49,Mobile
2025-05-09,1401,49.05,2.41,Desktop
2025-05-10,1372,57.01,4.05,Desktop
2025-05-11,1360,31.35,2.0,Mobile
2025-05-12,1436,41.33,4.48,Desktop
2025-05-13,1415,51.79,3.36,Desktop
2025-05-14,1405,57.37,1.08,Mobile
2025-05-15,3731,46.92,2.93,Mobile
2025-05-16,1448,42.66,3.72,Tablet
2025-05-17,1532,51.06,3.01,Desktop
2025-05-18,1427,51.95,3.77,Mobile
2025-05-19,1477,42.12,2.52,Desktop
2025-05-20,1463,47.64,2.16,Desktop
2025-05-21,1367,54.44,3.14,Mobile
2025-05-22,1558,60.12,3.23,Desktop
2025-05-23,1468,50.94,2.92,Mobile
2025-05-24,1524,45.35,4.18,Desktop
2025-05-25,1438,44.57,2.52,Desktop
2025-05-26,1476,49.46,3.45,Tablet
2025-05-27,1437,44.07,3.25,Desktop
2025-05-28,1567,46.52,1.95,Mobile
2025-05-29,1515,36.54,2.14,Desktop
2025-05-30,1521,55.38,3.21,Tablet
2025-05-31,1584,35.88,4.78,Desktop
2025-06-01,1576,41.54,3.66,Desktop
2025-06-02,1555,45.78,1.82,Mobile
2025-06-03,1428,60.93,0.71,Desktop
2025-06-04,1474,41.62,3.79,Desktop
2025-06-05,1459,39.67,3.12,Tablet
2025-06-06,1567,40.59,4.11,Mobile
2025-06-07,1536,58.27,2.5,Mobile
2025-06-08,1446,22.5,3.48,Mobile
2025-06-09,1522,36.98,3.88,Mobile
2025-06-10,1447,66.85,2.84,Mobile
2025-06-11,1536,49.73,2.86,Mobile
2025-06-12,1444,36.15,3.22,Desktop
2025-06-13,1578,44.66,3.63,Desktop
2025-06-14,1572,45.54,3.19,Mobile
2025-06-15,1668,51.77,3.98,Mobile
2025-06-16,1607,59.72,2.83,Mobile
2025-06-17,1534,48.11,2.14,Desktop
2025-06-18,1612,40.68,4.78,Desktop
2025-06-19,1483,51.3,2.72,Mobile
2025-06-20,1512,39.41,2.75,Mobile
2025-06-21,1593,36.73,3.15,Desktop
2025-06-22,1447,30.92,3.25,Mobile
2025-06-23,1578,32.48,2.89,Mobile
2025-06-24,1522,37.83,3.19,Tablet
2025-06-25,1593,35.58,3.17,Desktop
2025-06-26,1525,47.51,3.34,Tablet
2025-06-27,1619,35.4,1.31,Mobile
2025-06-28,1598,19.85,4.7,Mobile
2025-06-29,1684,36.65,3.08,Desktop
