order_date,category,region,revenue,units_sold,marketing_spend,customer_rating
2024-02-20,Home & Kitchen,West,229.27,5,20.38,3.9
2024-02-21,Home & Kitchen,East,238.27,8,19.63,3.9
2024-02-22,Apparel,South,186.5,5,,4.2
2024-02-23,Electronics,South,215.37,4,35.62,4.5
2024-02-24,Home & Kitchen,East,212.05,6,21.94,4.0
2024-02-25,Books,East,208.28,7,28.08,4.0
2024-02-26,Apparel,North,217.81,8,26.71,4.3
2024-02-27,Beauty,East,262.5,9,41.88,3.0
2024-02-28,Apparel,South,203.93,10,26.28,
2024-02-29,Apparel,East,599.34,15,77.95,4.2
2024-03-01,Sports,West,184.38,4,32.99,4.2
2024-03-02,Beauty,West,218.52,9,20.76,4.8
2024-03-03,Books,East,231.4,9,37.74,3.0
2024-03-04,Beauty,South,242.43,5,20.65,3.0
2024-03-05,Sports,South,246.0,15,31.43,4.4
2024-03-06,Sports,North,248.49,8,41.9,4.2
2024-03-07,Electronics,West,220.38,7,32.29,4.3
2024-03-08,Books,West,217.98,6,32.37,3.9
2024-03-09,Home & Kitchen,West,251.43,12,26.73,4.6
2024-03-10,Apparel,South,225.64,6,27.5,4.8
2024-03-11,Books,South,198.97,7,23.21,4.5
2024-03-12,Beauty,West,202.97,6,26.82,4.0
2024-03-13,Beauty,East,208.76,12,26.35,2.9
2024-03-14,Home & Kitchen,East,244.61,8,27.57,4.7
2024-03-15,Books,South,236.19,7,26.11,4.9
2024-03-16,Books,South,250.33,11,26.31,4.6
2024-03-17,Home & Kitchen,East,-126.95,1,0.0,3.7
2024-03-18,Electronics,West,237.91,11,22.6,4.6
2024-03-19,Electronics,South,250.03,9,41.81,4.7
2024-03-20,Sports,West,227.1,12,31.84,5.0
2024-03-21,Apparel,North,246.69,5,23.04,3.7
2024-03-22,Beauty,South,219.16,8,32.74,4.1
2024-03-23,Apparel,West,227.08,5,37.41,4.6
2024-03-24,Beauty,West,227.05,5,23.56,4.2
2024-03-25,Home & Kitchen,West,207.14,11,19.69,3.5
2024-03-26,Sports,South,249.65,7,20.19,4.4
2024-03-27,Electronics,West,226.18,5,19.16,4.5
2024-03-28,Apparel,West,238.67,7,37.29,4.3
2024-03-29,Sports,West,250.82,8,44.83,4.3
2024-03-30,Beauty,North,250.4,8,21.16,4.0
2024-03-31,Sports,East,256.31,15,39.68,5.0
2024-04-01,Electronics,West,237.66,7,20.72,3.7
2024-04-02,Home & Kitchen,West,229.98,5,32.02,3.8
2024-04-03,Electronics,North,239.01,5,37.19,4.2
2024-04-04,Electronics,West,199.26,12,23.1,4.7
2024-04-05,Books,North,205.71,5,16.68,3.3
2024-04-06,Books,South,209.26,8,29.2,3.4
2024-04-07,Sports,East,217.83,5,39.02,3.0
2024-04-08,Sports,South,253.2,15,26.78,4.2
2024-04-09,Books,East,221.01,5,21.87,3.5
2024-04-10,Sports,North,234.63,5,21.68,4.0
2024-04-11,Electronics,East,277.01,14,37.54,4.6
2024-04-12,Electronics,East,236.06,14,32.96,3.8
2024-04-13,Apparel,East,263.85,6,42.01,4.3
2024-04-14,Sports,South,222.51,11,34.56,4.0
2024-04-15,Electronics,South,241.16,7,40.82,4.6
2024-04-16,Apparel,South,222.98,5,35.81,4.5
2024-04-17,Books,South,238.7,7,25.0,3.8
2024-04-18,Electronics,East,268.62,9,36.42,4.1
2024-04-19,Home & Kitchen,South,204.87,7,22.48,4.8
2024-04-20,Sports,South,259.36,15,29.3,4.4
2024-04-21,Books,South,254.88,5,44.14,3.4
2024-04-22,Electronics,North,234.53,9,34.75,4.6
2024-04-23,Sports,East,213.67,10,37.92,3.5
2024-04-24,Home & Kitchen,West,252.06,10,30.67,5.0
2024-04-25,Sports,South,237.46,5,31.76,4.8
2024-04-26,Home & Kitchen,West,256.96,14,33.07,4.4
2024-04-27,Apparel,East,252.13,6,22.88,4.3
2024-04-28,Home & Kitchen,North,888.81,24,92.14,4.1
2024-04-29,Home & Kitchen,South,246.48,6,32.72,4.6
2024-04-30,Sports,North,227.32,5,19.72,4.0
2024-05-01,Electronics,North,257.83,6,44.64,
2024-05-02,Electronics,South,259.29,5,23.95,4.7
2024-05-03,Home & Kitchen,South,288.21,15,,3.9
2024-05-04,Books,West,275.55,7,43.13,3.8
2024-05-05,Sports,North,264.03,8,23.68,3.5
2024-05-06,Beauty,West,292.13,9,49.67,3.6
2024-05-07,Home & Kitchen,North,226.27,5,34.52,3.1
2024-05-08,Home & Kitchen,North,240.44,5,20.89,4.6
2024-05-09,Electronics,East,233.71,6,34.87,5.0
2024-05-10,Apparel,West,247.57,8,35.44,5.0
2024-05-11,Beauty,East,223.34,7,34.78,3.2
2024-05-12,Books,North,274.08,10,44.62,4.6
2024-05-13,Apparel,North,253.08,9,38.43,5.0
2024-05-14,Home & Kitchen,South,222.31,8,30.82,3.9
2024-05-15,Beauty,South,234.13,13,26.28,4.3
2024-05-16,Apparel,West,267.8,15,40.1,3.0
2024-05-17,Electronics,South,281.35,7,49.43,
2024-05-18,Home & Kitchen,North,310.76,10,43.12,3.6
2024-05-19,Electronics,West,334.13,7,48.93,4.3
2024-05-20,Electronics,North,272.08,8,,3.3
2024-05-21,Electronics,North,237.43,14,36.95,4.5
2024-05-22,Apparel,South,209.3,10,37.63,4.8
2024-05-23,Apparel,South,269.74,12,25.91,3.7
2024-05-24,Home & Kitchen,East,243.16,5,24.37,3.5
2024-05-25,Home & Kitchen,West,253.54,11,33.96,2.9
2024-05-26,Beauty,West,249.07,8,31.91,4.0
2024-05-27,Sports,South,261.29,6,35.84,3.9
2024-05-28,Apparel,West,291.9,6,24.78,3.3
2024-05-29,Home & Kitchen,East,269.62,12,32.47,4.5
2024-05-30,Sports,North,262.17,15,36.26,3.9
2024-05-31,Electronics,West,240.68,12,33.34,3.6
2024-06-01,Home & Kitchen,North,225.15,13,32.81,3.9
2024-06-02,Beauty,East,255.3,12,38.81,4.8
2024-06-03,Apparel,West,266.55,8,38.42,4.6
2024-06-04,Books,North,312.53,7,49.7,4.1
2024-06-05,Apparel,South,272.03,8,38.76,4.6
2024-06-06,Books,South,293.79,8,39.29,3.5
2024-06-07,Home & Kitchen,West,257.18,12,36.16,4.2
2024-06-08,Electronics,North,240.48,6,21.67,4.3
2024-06-09,Home & Kitchen,East,246.41,7,26.44,3.9
2024-06-10,Electronics,South,252.85,6,33.56,4.5
2024-06-11,Sports,North,324.63,7,54.31,3.7
2024-06-12,Home & Kitchen,East,251.33,9,37.17,
2024-06-13,Apparel,West,293.27,16,26.11,
2024-06-14,Sports,East,250.17,11,34.83,2.4
2024-06-15,Sports,North,296.48,10,30.29,4.9
2024-06-16,Home & Kitchen,North,283.25,6,43.45,2.4
2024-06-17,Apparel,South,270.15,10,43.97,3.8
2024-06-18,Beauty,East,273.49,7,38.11,4.8
2024-06-19,Books,East,258.58,8,35.98,4.0
2024-06-20,Sports,North,286.54,13,32.63,3.3
2024-06-21,Beauty,East,264.46,10,32.96,3.5
2024-06-22,Sports,South,245.63,7,40.88,4.8
2024-06-23,Electronics,East,244.76,6,37.29,3.0
2024-06-24,Apparel,West,281.47,10,37.15,4.9
2024-06-25,Electronics,East,317.07,14,37.04,4.2
2024-06-26,Books,North,282.04,7,23.98,3.5
2024-06-27,Beauty,West,275.51,13,25.98,3.9
2024-06-28,Apparel,North,286.06,6,28.41,3.6
2024-06-29,Home & Kitchen,West,312.01,15,36.61,4.7
2024-06-30,Electronics,North,285.28,15,49.76,4.6
2024-07-01,Beauty,East,269.97,9,35.23,3.2
2024-07-02,Electronics,North,800.61,26,82.85,4.0
2024-07-03,Electronics,North,291.84,9,26.43,3.7
2024-07-04,Electronics,East,319.96,11,36.42,5.0
2024-07-05,Electronics,East,286.58,6,46.3,3.4
2024-07-06,Apparel,North,251.83,8,29.8,5.0
2024-07-07,Apparel,West,248.68,8,39.11,4.2
2024-07-08,Home & Kitchen,South,324.6,11,52.02,3.5
2024-07-09,Electronics,South,326.86,19,29.77,3.8
2024-07-10,Electronics,South,279.72,8,39.4,3.7
2024-07-11,Home & Kitchen,South,275.07,12,48.39,3.4
2024-07-12,Electronics,North,321.63,9,38.66,4.3
2024-07-13,Books,South,257.85,15,21.94,3.5
2024-07-14,Electronics,North,263.6,5,45.43,2.9
2024-07-15,Home & Kitchen,North,302.5,10,50.93,4.0
2024-07-16,Home & Kitchen,South,276.99,6,36.62,3.1
2024-07-17,Home & Kitchen,East,287.17,9,38.83,3.7
2024-07-18,Electronics,West,283.65,16,28.7,3.7
2024-07-19,Electronics,South,296.62,7,48.04,3.7
2024-07-20,Sports,South,323.8,9,42.05,5.0
2024-07-21,Electronics,West,291.32,7,24.29,4.2
2024-07-22,Apparel,East,305.6,10,45.32,4.3
2024-07-23,Apparel,West,696.21,20,121.87,3.1
2024-07-24,Home & Kitchen,West,289.16,7,47.11,3.8
2024-07-25,Home & Kitchen,West,269.74,7,29.06,4.3
2024-07-26,Sports,West,260.79,10,22.25,3.6
2024-07-27,Sports,South,269.75,7,46.95,4.7
2024-07-28,Home & Kitchen,South,283.79,8,49.3,3.5
2024-07-29,Home & Kitchen,South,315.48,7,,4.0
2024-07-30,Electronics,North,259.87,9,37.48,3.8
2024-07-31,Apparel,East,294.23,10,37.15,4.3
2024-08-01,Books,East,281.8,7,34.37,3.8
2024-08-02,Electronics,West,286.16,9,26.31,4.0
2024-08-03,Home & Kitchen,North,319.86,8,28.68,4.1
2024-08-04,Beauty,South,308.68,10,31.88,3.8
2024-08-05,Electronics,North,329.11,15,53.86,4.5
2024-08-06,Apparel,West,292.25,7,27.64,4.3
2024-08-07,Books,South,279.15,14,28.66,4.1
2024-08-08,Electronics,North,291.4,13,39.3,3.9
2024-08-09,Electronics,East,303.5,8,30.81,
2024-08-10,Electronics,West,302.29,8,29.12,
2024-08-11,Beauty,West,271.21,6,36.97,4.0
2024-08-12,Electronics,North,301.02,12,35.16,4.3
2024-08-13,Electronics,South,304.9,16,43.48,5.0
2024-08-14,Electronics,North,362.58,8,62.08,3.4
2024-08-15,Electronics,South,347.0,17,33.0,4.7
2024-08-16,Apparel,East,279.19,13,47.84,3.1
2024-08-17,Electronics,South,293.78,12,50.02,4.3
2024-08-18,Apparel,North,264.82,8,43.14,5.0
2024-08-19,Apparel,East,287.08,6,41.09,4.5
2024-08-20,Sports,North,310.17,8,,4.3
2024-08-21,Electronics,North,332.87,9,47.91,3.9
2024-08-22,Sports,North,284.94,14,42.47,4.2
2024-08-23,Apparel,North,287.25,11,23.45,4.0
2024-08-24,Electronics,South,250.37,8,44.02,3.7
2024-08-25,Sports,West,300.42,15,41.63,4.0
2024-08-26,Sports,West,278.37,11,44.02,4.3
2024-08-27,Home & Kitchen,North,292.13,12,34.39,3.7
2024-08-28,Beauty,North,283.89,15,23.06,
2024-08-29,Apparel,South,303.9,9,39.8,3.4
2024-08-30,Apparel,East,262.75,7,34.35,4.4
2024-08-31,Beauty,East,270.46,15,33.46,4.5
2024-09-01,Home & Kitchen,West,360.81,12,41.12,4.3
2024-09-02,Sports,South,275.83,7,28.96,4.8
2024-09-03,Home & Kitchen,North,281.04,7,37.31,4.3
2024-09-04,Sports,North,354.82,8,41.7,4.4
2024-09-05,Apparel,North,381.97,13,67.61,4.4
2024-09-06,Electronics,North,280.49,7,27.29,4.1
2024-09-07,Home & Kitchen,West,301.01,13,33.7,3.9
2024-09-08,Home & Kitchen,South,319.2,12,34.92,5.0
2024-09-09,Electronics,West,354.32,17,47.6,3.9
2024-09-10,Electronics,East,286.87,9,37.27,3.8
2024-09-11,Home & Kitchen,East,305.85,11,44.16,4.5
2024-09-12,Electronics,South,331.86,14,58.08,4.4
2024-09-13,Electronics,West,323.73,8,35.13,3.4
2024-09-14,Books,North,303.9,12,45.37,
2024-09-15,Books,North,310.4,13,25.61,4.1
2024-09-16,Books,South,279.82,14,29.73,3.5
2024-09-17,Home & Kitchen,South,308.67,10,39.01,4.9
2024-09-18,Sports,East,308.41,12,25.63,4.6
2024-09-19,Apparel,East,321.32,12,45.55,3.4
2024-09-20,Electronics,East,302.07,13,44.66,5.0
2024-09-21,Electronics,South,328.18,8,50.76,4.6
2024-09-22,Books,South,342.15,7,45.05,4.2
2024-09-23,Electronics,West,321.16,10,45.09,5.0
2024-09-24,Apparel,North,326.51,9,39.05,4.3
2024-09-25,Beauty,East,319.49,7,26.88,4.2
2024-09-26,Electronics,East,318.6,7,28.67,3.8
2024-09-27,Electronics,West,301.0,9,43.8,4.5
2024-09-28,Beauty,East,327.39,7,58.78,4.5
2024-09-29,Apparel,South,317.49,7,25.9,4.2
2024-09-30,Electronics,South,372.69,9,50.6,3.7
2024-10-01,Sports,South,360.14,12,55.86,4.3
2024-10-02,Sports,South,330.89,18,53.83,4.2
2024-10-03,Apparel,North,302.61,19,40.71,3.4
2024-10-04,Apparel,East,294.31,10,41.79,3.3
2024-10-05,Home & Kitchen,North,352.34,11,52.74,4.5
2024-10-06,Electronics,East,329.57,12,54.68,2.6
2024-10-07,Apparel,West,335.45,10,30.94,4.3
2024-10-08,Home & Kitchen,West,280.27,8,48.38,3.9
2024-10-09,Books,North,347.51,8,28.71,5.0
2024-10-10,Sports,West,336.13,18,55.0,3.9
2024-10-11,Electronics,North,297.45,13,26.08,4.6
2024-10-12,Apparel,South,313.86,8,31.22,
2024-10-13,Electronics,North,332.69,8,26.74,4.3
2024-10-14,Sports,North,327.84,7,,4.6
2024-10-15,Home & Kitchen,North,319.67,7,36.26,3.9
2024-10-16,Apparel,North,324.83,7,31.38,4.8
2024-10-17,Apparel,West,321.56,13,40.23,3.6
2024-10-18,Home & Kitchen,North,332.11,12,39.93,4.4
2024-10-19,Books,South,365.52,15,57.3,4.8
2024-10-20,Books,East,265.01,7,44.87,
2024-10-21,Apparel,West,323.7,7,47.02,5.0
2024-10-22,Sports,West,334.47,13,30.92,3.7
2024-10-23,Beauty,North,337.9,10,37.01,3.4
2024-10-24,Home & Kitchen,West,321.64,13,55.11,3.6
2024-10-25,Apparel,East,287.46,14,25.55,
2024-10-26,Electronics,North,36.81,1,,4.5
2024-10-27,Sports,South,375.45,22,65.42,
2024-10-28,Apparel,West,294.36,6,51.53,3.5
2024-10-29,Home & Kitchen,South,354.74,13,42.97,4.7
2024-10-30,Electronics,North,325.37,8,47.75,3.5
2024-10-31,Sports,West,332.49,9,41.79,4.9
2024-11-01,Home & Kitchen,West,308.15,14,47.87,5.0
2024-11-02,Books,West,326.55,16,27.16,4.4
2024-11-03,Electronics,West,367.85,9,34.73,4.5
2024-11-04,Beauty,West,350.36,15,49.55,3.9
2024-11-05,Electronics,South,379.54,8,39.19,3.1
2024-11-06,Electronics,North,366.11,19,53.67,3.8
2024-11-07,Sports,East,348.09,9,40.07,3.5
2024-11-08,Beauty,North,381.15,9,64.29,3.3
2024-11-09,Electronics,South,348.97,15,56.51,5.0
2024-11-10,Apparel,East,359.14,15,46.43,4.4
2024-11-11,Books,West,331.46,7,52.14,4.4
2024-11-12,Sports,South,340.98,14,36.52,4.0
2024-11-13,Home & Kitchen,South,322.32,11,41.72,4.1
2024-11-14,Apparel,East,364.94,13,36.4,
2024-11-15,Books,North,311.18,13,51.68,4.2
2024-11-16,Books,East,360.64,9,58.53,4.5
2024-11-17,Sports,East,336.76,8,57.32,4.1
2024-11-18,Apparel,East,371.25,14,62.28,4.0
2024-11-19,Electronics,South,361.18,9,63.55,3.4
2024-11-20,Beauty,West,388.36,18,39.94,3.0
2024-11-21,Sports,South,361.56,23,62.62,4.0
2024-11-22,Sports,East,304.43,9,41.74,4.2
2024-11-23,Electronics,South,342.49,7,41.87,3.4
2024-11-24,Electronics,North,315.31,19,42.89,
2024-11-25,Books,East,332.09,15,37.95,4.2
2024-11-26,Electronics,North,383.27,12,,2.9
2024-11-27,Beauty,West,361.87,9,37.68,3.7
2024-11-28,Home & Kitchen,East,328.9,18,,4.4
2024-11-29,Books,South,-41.25,1,0.0,4.4
2024-11-30,Sports,South,348.07,9,58.75,3.5
2024-12-01,Home & Kitchen,East,317.28,12,45.38,4.3
2024-12-02,Home & Kitchen,South,331.36,16,43.77,4.8
2024-12-03,Apparel,South,356.38,17,43.78,4.7
2024-12-04,Apparel,South,377.9,13,47.78,4.1
2024-12-05,Home & Kitchen,South,364.68,12,36.81,3.9
2024-12-06,Apparel,West,292.62,7,47.49,3.8
2024-12-07,Beauty,North,357.95,10,35.74,4.5
2024-12-08,Apparel,West,352.58,9,53.47,4.3
2024-12-09,Electronics,South,361.57,8,56.4,4.6
2024-12-10,Home & Kitchen,East,392.07,14,53.9,4.3
2024-12-11,Home & Kitchen,North,300.52,11,49.97,4.7
2024-12-12,Electronics,South,337.77,7,36.85,4.3
2024-12-13,Electronics,West,367.76,16,61.84,4.7
2024-12-14,Books,South,313.89,8,48.01,4.7
2024-12-15,Home & Kitchen,North,390.77,10,62.47,3.7
2024-12-16,Beauty,East,363.52,20,53.24,3.1
2024-12-17,Electronics,North,926.81,31,152.58,5.0
2024-12-18,Electronics,South,340.92,16,61.13,4.4
2024-12-19,Sports,South,375.98,18,45.88,3.2
2024-12-20,Sports,East,382.78,13,61.78,3.8
2024-12-21,Home & Kitchen,East,362.33,15,55.97,4.7
2024-12-22,Electronics,East,362.81,9,45.46,4.0
2024-12-23,Electronics,West,364.15,8,62.89,3.9
2024-12-24,Apparel,North,336.25,8,40.16,5.0
2024-12-25,Apparel,South,354.59,15,48.42,3.6
2024-12-26,Home & Kitchen,North,354.9,15,32.15,3.7
2024-12-27,Electronics,North,368.74,16,37.82,4.3
2024-12-28,Apparel,North,384.59,20,63.1,4.4
2024-12-29,Beauty,East,333.58,7,39.91,4.5
2024-12-30,Books,West,357.36,13,42.67,
2024-12-31,Apparel,West,397.96,18,41.63,4.3
2025-01-01,Electronics,East,342.77,8,,4.5
2025-01-02,Home & Kitchen,West,341.25,12,54.8,4.0
2025-01-03,Home & Kitchen,North,367.3,22,,4.2
2025-01-04,Sports,West,383.8,19,33.39,4.3
2025-01-05,Sports,West,363.41,10,49.96,4.3
2025-01-06,Beauty,North,396.79,10,50.28,4.7
2025-01-07,Beauty,South,385.43,18,54.51,4.5
2025-01-08,Beauty,West,385.49,9,48.08,
2025-01-09,Beauty,South,378.74,9,45.4,3.7
2025-01-10,Electronics,West,423.52,10,53.87,4.2
2025-01-11,Electronics,West,360.64,16,49.84,4.2
2025-01-12,Home & Kitchen,South,316.12,19,41.13,4.3
2025-01-13,Apparel,North,406.76,9,51.75,5.0
2025-01-14,Electronics,South,355.65,14,57.54,3.9
2025-01-15,Sports,North,370.23,11,57.22,4.5
2025-01-16,Apparel,South,400.71,10,45.74,4.8
2025-01-17,Apparel,East,328.36,17,52.56,4.3
2025-01-18,Electronics,South,337.57,8,55.82,5.0
2025-01-19,Home & Kitchen,North,329.27,7,31.4,4.0
2025-01-20,Electronics,South,349.89,9,48.38,4.4
2025-01-21,Sports,East,381.17,13,41.37,3.7
2025-01-22,Apparel,North,383.73,9,59.06,4.0
2025-01-23,Books,North,377.97,12,39.26,4.3
2025-01-24,Home & Kitchen,West,336.18,9,49.47,4.7
2025-01-25,Home & Kitchen,North,314.19,7,33.15,4.4
2025-01-26,Home & Kitchen,South,373.74,9,49.0,5.0
2025-01-27,Sports,North,361.03,15,63.13,4.1
2025-01-28,Sports,North,384.75,20,45.45,4.0
2025-01-29,Electronics,South,391.26,17,65.56,5.0
2025-01-30,Beauty,East,377.6,12,67.48,4.4
2025-01-31,Electronics,North,393.59,13,65.92,3.8
2025-02-01,Sports,North,380.76,11,36.78,3.8
2025-02-02,Electronics,North,388.72,14,62.96,3.6
2025-02-03,Home & Kitchen,East,358.29,9,29.82,4.8
2025-02-04,Sports,West,371.86,8,44.37,4.0
2025-02-05,Electronics,North,381.71,17,63.77,4.3
2025-02-06,Home & Kitchen,South,397.75,10,59.21,4.2
2025-02-07,Home & Kitchen,South,367.83,10,49.02,4.6
2025-02-08,Electronics,South,391.15,12,46.46,3.7
2025-02-09,Books,North,371.91,18,59.96,3.6
2025-02-10,Sports,North,376.06,9,56.77,4.3
2025-02-11,Sports,East,400.18,9,50.76,4.6
2025-02-12,Home & Kitchen,South,330.05,9,55.86,4.4
2025-02-13,Apparel,South,347.91,8,35.83,3.7
2025-02-14,Electronics,South,343.71,7,33.35,4.6
2025-02-15,Electronics,West,322.86,12,46.58,3.8
2025-02-16,Electronics,East,364.69,10,64.62,3.9
2025-02-17,Beauty,South,400.82,13,41.98,3.6
2025-02-18,Sports,North,375.4,8,39.4,5.0
2025-02-19,Sports,West,387.91,21,36.44,4.6
2025-02-20,Apparel,West,410.64,15,68.19,4.6
2025-02-21,Apparel,North,417.04,10,42.8,4.9
2025-02-22,Apparel,West,382.56,16,49.85,5.0
2025-02-23,Apparel,East,418.57,10,74.96,3.2
2025-02-24,Home & Kitchen,North,387.47,14,31.47,3.8
2025-02-25,Electronics,West,364.68,8,49.47,3.8
2025-02-26,Electronics,North,371.19,8,48.71,3.7
2025-02-27,Beauty,North,349.48,14,56.18,3.6
2025-02-28,Apparel,North,364.73,9,42.14,4.0
2025-03-01,Beauty,South,378.42,15,45.8,3.5
2025-03-02,Electronics,East,407.91,12,39.48,4.4
2025-03-03,Apparel,South,431.28,12,66.45,4.2
2025-03-04,Electronics,North,354.14,8,56.12,4.5
2025-03-05,Home & Kitchen,North,398.96,25,37.37,4.5
2025-03-06,Electronics,West,363.57,16,43.39,4.6
2025-03-07,Electronics,West,401.89,11,68.04,4.0
2025-03-08,Beauty,West,387.18,12,31.08,5.0
2025-03-09,Home & Kitchen,North,345.13,11,,4.3
2025-03-10,Apparel,West,414.55,24,56.17,3.1
2025-03-11,Apparel,East,376.66,14,42.72,3.6
2025-03-12,Home & Kitchen,East,378.88,9,40.62,3.2
2025-03-13,Apparel,North,365.92,22,46.11,4.2
2025-03-14,Electronics,West,376.75,14,36.98,4.1
2025-03-15,Beauty,South,404.24,9,53.75,3.9
2025-03-16,Sports,North,389.26,23,58.65,5.0
2025-03-17,Books,North,402.65,10,55.38,4.5
2025-03-18,Apparel,South,403.92,17,36.07,4.6
2025-03-19,Electronics,North,428.33,10,70.43,3.6
2025-03-20,Beauty,South,387.18,10,37.75,3.6
2025-03-21,Home & Kitchen,South,359.27,8,56.22,4.2
2025-03-22,Electronics,West,423.31,19,49.13,4.3
2025-03-23,Home & Kitchen,North,388.79,12,61.54,3.1
2025-03-24,Sports,East,425.38,11,,4.1
2025-03-25,Apparel,West,407.54,18,40.21,4.2
2025-03-26,Sports,West,395.12,18,51.25,4.1
2025-03-27,Sports,West,407.56,25,33.95,3.7
2025-03-28,Electronics,North,448.05,10,45.94,3.9
2025-03-29,Beauty,West,451.64,12,68.83,4.1
2025-03-30,Home & Kitchen,West,401.89,11,65.81,4.3
2025-03-31,Apparel,South,404.61,10,35.64,4.6
2025-04-01,Electronics,South,427.95,13,71.98,4.8
2025-04-02,Beauty,East,380.34,12,60.76,4.0
2025-04-03,Home & Kitchen,South,410.25,14,68.5,3.9
2025-04-04,Electronics,South,401.72,11,60.19,4.5
2025-04-05,Apparel,West,410.65,19,60.54,4.6
2025-04-06,Electronics,West,382.41,9,,3.9
2025-04-07,Electronics,South,363.95,9,52.87,4.7
2025-04-08,Apparel,West,352.3,13,60.56,4.8
2025-04-09,Home & Kitchen,South,376.63,11,33.92,5.0
2025-04-10,Beauty,West,393.54,20,43.91,5.0
2025-04-11,Home & Kitchen,East,398.12,9,34.73,3.7
2025-04-12,Books,South,454.32,10,79.27,4.2
2025-04-13,Apparel,North,433.98,10,54.04,4.2
2025-04-14,Books,East,382.72,15,56.46,4.1
2025-04-15,Apparel,South,415.91,20,68.26,3.8
2025-04-16,Apparel,North,397.48,18,71.19,3.3
2025-04-17,Beauty,North,400.99,22,,4.3
2025-04-18,Home & Kitchen,West,413.17,22,66.09,3.7
2025-04-19,Electronics,North,424.46,24,71.62,4.3
2025-04-20,Books,West,400.94,8,34.03,3.7
2025-04-21,Sports,West,436.46,25,67.83,3.5
2025-04-22,Electronics,North,381.75,20,44.08,4.3
2025-04-23,Home & Kitchen,East,410.9,10,59.52,4.3
2025-04-24,Sports,East,476.12,14,62.57,4.5
2025-04-25,Books,South,417.2,10,44.21,5.0
2025-04-26,Beauty,East,447.89,13,41.89,4.4
2025-04-27,Apparel,South,414.79,10,,4.5
2025-04-28,Books,South,427.47,12,38.61,3.6
2025-04-29,Home & Kitchen,South,411.97,13,59.23,3.4
2025-04-30,Beauty,West,409.57,11,47.16,5.0
2025-05-01,Home & Kitchen,East,394.78,13,,
2025-05-02,Books,South,425.47,16,63.47,3.6
2025-05-03,Home & Kitchen,West,393.86,13,58.56,4.2
2025-05-04,Apparel,West,432.23,21,57.88,4.1
2025-05-05,Books,West,443.16,11,76.89,3.7
2025-05-06,Apparel,East,425.64,18,50.46,4.0
2025-05-07,Beauty,South,409.76,20,67.03,4.9
2025-05-08,Home & Kitchen,West,428.7,19,37.52,3.7
